2024-08-22 17:13:57, CPU USAGE: 20%, TOTAL MEM: 251776 KB, USED MEM: 36568 KB, FREE MEM: 187860 KB
2024-08-22 17:13:58, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35300 KB, FREE MEM: 189112 KB
2024-08-22 17:13:59, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35412 KB, FREE MEM: 188912 KB
2024-08-22 17:14:00, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 35408 KB, FREE MEM: 188812 KB
2024-08-22 17:14:01, CPU USAGE: 27%, TOTAL MEM: 251776 KB, USED MEM: 35468 KB, FREE MEM: 188960 KB
2024-08-22 17:14:02, CPU USAGE: 15%, TOTAL MEM: 251776 KB, USED MEM: 35420 KB, FREE MEM: 188824 KB
2024-08-22 17:14:03, CPU USAGE: 7%, TOTAL MEM: 251776 KB, USED MEM: 35472 KB, FREE MEM: 188988 KB
2024-08-22 17:14:04, CPU USAGE: 28%, TOTAL MEM: 251776 KB, USED MEM: 35420 KB, FREE MEM: 188880 KB
2024-08-22 17:14:05, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35504 KB, FREE MEM: 188980 KB
2024-08-22 17:14:06, CPU USAGE: 6%, TOTAL MEM: 251776 KB, USED MEM: 35508 KB, FREE MEM: 188788 KB
2024-08-22 17:14:07, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35304 KB, FREE MEM: 188944 KB
2024-08-22 17:14:08, CPU USAGE: 2%, TOTAL MEM: 251776 KB, USED MEM: 35252 KB, FREE MEM: 189132 KB
2024-08-22 17:14:10, CPU USAGE: 18%, TOTAL MEM: 251776 KB, USED MEM: 35656 KB, FREE MEM: 187408 KB
2024-08-22 17:14:11, CPU USAGE: 31%, TOTAL MEM: 251776 KB, USED MEM: 35444 KB, FREE MEM: 188756 KB
2024-08-22 17:14:12, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35516 KB, FREE MEM: 188936 KB
2024-08-22 17:14:13, CPU USAGE: 6%, TOTAL MEM: 251776 KB, USED MEM: 35412 KB, FREE MEM: 188912 KB
2024-08-22 17:14:14, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35440 KB, FREE MEM: 188928 KB
2024-08-22 17:14:15, CPU USAGE: 38%, TOTAL MEM: 251776 KB, USED MEM: 35328 KB, FREE MEM: 188840 KB
2024-08-22 17:14:16, CPU USAGE: 9%, TOTAL MEM: 251776 KB, USED MEM: 35324 KB, FREE MEM: 189080 KB
2024-08-22 17:14:17, CPU USAGE: 14%, TOTAL MEM: 251776 KB, USED MEM: 35492 KB, FREE MEM: 188788 KB
2024-08-22 17:14:18, CPU USAGE: 28%, TOTAL MEM: 251776 KB, USED MEM: 36952 KB, FREE MEM: 187768 KB
2024-08-22 17:14:19, CPU USAGE: 18%, TOTAL MEM: 251776 KB, USED MEM: 36304 KB, FREE MEM: 188028 KB
2024-08-22 17:14:20, CPU USAGE: 14%, TOTAL MEM: 251776 KB, USED MEM: 35404 KB, FREE MEM: 188808 KB
2024-08-22 17:14:22, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35408 KB, FREE MEM: 188964 KB
2024-08-22 17:14:23, CPU USAGE: 22%, TOTAL MEM: 251776 KB, USED MEM: 35512 KB, FREE MEM: 188816 KB
2024-08-22 17:14:24, CPU USAGE: 20%, TOTAL MEM: 251776 KB, USED MEM: 35400 KB, FREE MEM: 188988 KB
2024-08-22 17:14:25, CPU USAGE: 19%, TOTAL MEM: 251776 KB, USED MEM: 36120 KB, FREE MEM: 188032 KB
2024-08-22 17:14:26, CPU USAGE: 18%, TOTAL MEM: 251776 KB, USED MEM: 35552 KB, FREE MEM: 188860 KB
2024-08-22 17:14:27, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35508 KB, FREE MEM: 188988 KB
2024-08-22 17:14:28, CPU USAGE: 7%, TOTAL MEM: 251776 KB, USED MEM: 35160 KB, FREE MEM: 189088 KB
2024-08-22 17:14:29, CPU USAGE: 17%, TOTAL MEM: 251776 KB, USED MEM: 35404 KB, FREE MEM: 188872 KB
2024-08-22 17:14:30, CPU USAGE: 13%, TOTAL MEM: 251776 KB, USED MEM: 35480 KB, FREE MEM: 188712 KB
